Program,Description,Population,Other Entrance Criteria,What County/City does this program serve? ,What is the location of this program/service?,When?,How to get started?
"Adult Day Program, Burlingame","Day Program at Burlingame provides adults with developmental disabilities the experiential knowledge and skills to make informed decisions about and participate in their preferred types and levels of community engagement, including employment, volunteering, and social and recreational activities.","Ages 18+
Has a developmental disability
Not currently served by school system","Doesn't need support AbilityPath staff during service hours for the following: using the restroom, eating, mobility, medical needs, and taking medication

Doesn't need support from AbilityPath staff to safely participate without frequently being: disruptive, dangerous to self/others, destructive of property, or eloping",San Mateo County,"899 Stanton Rd, Burlingame, CA 94010
and at various locations in the local community","5 days per week (Monday-Friday) from 9:00 AM–3:00 PM
Part-time Monday, Wednesday, Friday and Tuesday, Thursday options available","To begin the intake process, please contact your Regional Center Service Coordinator and request they email a referral packet to intake@abilitypath.org.

Required Documents:

*Facesheet
*CDER
*Current IPP
*Medical Report
*Psychological Report
*Social Report
"
"Adult Day Program, Daly City","Day Program at Daly City provides adults with developmental disabilities the experiential knowledge and skills to make informed decisions about and participate in their preferred types and levels of community engagement, including employment, volunteering, and social and recreational activities.","Ages 18+
Has a developmental disability
Not currently served by school system","Doesn't need support AbilityPath staff during service hours for the following: using the restroom, eating, mobility, medical needs, and taking medication

Doesn't need support from AbilityPath staff to safely participate without frequently being: disruptive, dangerous to self/others, destructive of property, or eloping",San Mateo County,"550 Washington St #100, Daly City, CA 94015
and at various locations in the local community","5 days per week (Monday-Friday) from 9:00 AM–3:00 PM
Part-time Monday, Wednesday, Friday and Tuesday, Thursday options available","To begin the intake process, please contact your Regional Center Service Coordinator and request they email a referral packet to intake@abilitypath.org.

Required Documents:

*Facesheet
*CDER
*Current IPP
*Medical Report
*Psychological Report
*Social Report
"
Community Access Adult Day Program,"Community Access is a community-based day program designed is to provide adults with developmental disabilities the experiential knowledge and skills to make informed decisions about and participate in their preferred types and levels of community engagement, including employment, volunteering, and social and recreational activities.","Ages 18+
Has a developmental disability
Not currently served by school system","Doesn't need support AbilityPath staff during service hours for the following: using the restroom, eating, mobility, medical needs, and taking medication

Doesn't need support from AbilityPath staff to safely participate without frequently being: disruptive, dangerous to self/others, destructive of property, or eloping",San Mateo County ,Various locations in the community,"5 days per week (Monday-Friday) from 9:00 AM–3:00 PM
Part-time Monday, Wednesday, Friday and Tuesday, Thursday options available","To begin the intake process, please contact your Regional Center Service Coordinator and request they email a referral packet to intake@abilitypath.org.

Required Documents:

*Facesheet
*CDER
*Current IPP
*Medical Report
*Psychological Report
*Social Report
"
"Adult Day Program, San Jose","Day Program at San Jose is a community-based day program designed to provide adults with developmental disabilities the experiential knowledge and skills to make informed decisions about and participate in their preferred types and levels of community engagement, including employment, volunteering, and social and recreational activities.","Ages 18+
Has a developmental disability
Not currently served by school system","Doesn't need support AbilityPath staff during service hours for the following: using the restroom, eating, mobility, medical needs, and taking medication

Doesn't need support from AbilityPath staff to safely participate without frequently being: disruptive, dangerous to self/others, destructive of property, or eloping",Santa Clara County,"Based out of 2248 N. First Street, San Jose, CA 95131
Program occurs at various locations in the local community","5 days per week (Monday-Friday) from 9:00 AM–3:00 PM
Part-time Monday, Wednesday, Friday and Tuesday, Thursday options available","To begin the intake process, please contact your Regional Center Service Coordinator and request they email a referral packet to intake@abilitypath.org.

Required Documents:

*Facesheet
*CDER
*Current IPP
"
"Adult Day Program, Palo Alto","Day Program at Palo Alto is a community-based day program designed to provide adults with developmental disabilities the experiential knowledge and skills to make informed decisions about and participate in their preferred types and levels of community engagement, including employment, volunteering, and social and recreational activities.","Ages 18+
Has a developmental disability
Not currently served by school system","Doesn't need support AbilityPath staff during service hours for the following: using the restroom, eating, mobility, medical needs, and taking medication

Doesn't need support from AbilityPath staff to safely participate without frequently being: disruptive, dangerous to self/others, destructive of property, or eloping",Santa Clara County,"Based out of 3864 Middlefield Rd, Palo Alto, CA 94303
Program occurs at various locations in the local community","5 days per week (Monday-Friday) from 9:00 AM–3:00 PM
Part-time Monday, Wednesday, Friday and Tuesday, Thursday options available","To begin the intake process, please contact your Regional Center Service Coordinator and request they email a referral packet to intake@abilitypath.org.

Required Documents:

*Facesheet
*CDER
*Current IPP
"
Youth Social Recreation,"Social Recreation has inclusive programming for youth ages 12-17 with developmental disabilities. Social Rec focuses on building meaningful connections, freidnships, and exploring abilities and interests. Programs are offered on weekends, weeknights, summer, and during school breaks.","Ages 12-17
Has a developmental disability","Doesn't need support AbilityPath staff during service hours for the following: using the restroom, eating, mobility, medical needs, and taking medication

Doesn't need support from AbilityPath staff to safely participate without frequently being: disruptive, dangerous to self/others, destructive of property, or eloping",San Mateo County and Santa Clara County,Various locations in the community or at an AbilityPath site,Days and times vary. Please visit https://abilitypath.org/services/adult-services/social-recreation-programs/ for upcoming programs,"To begin the intake process, please email socialrec@abilitypath.org"
Adult Social Recreation,"Social Recreation has inclusive programming for adults ages 18-30 with developmental disabilities. Social Rec focuses on building meaningful connections, freidnships, and exploring abilities and interests. Programs are offered on weekends, weeknights, summer, and during school breaks.","Ages 18+
Has a developmental disability
","Doesn't need support AbilityPath staff during service hours for the following: using the restroom, eating, mobility, medical needs, and taking medication

Doesn't need support from AbilityPath staff to safely participate without frequently being: disruptive, dangerous to self/others, destructive of property, or eloping",San Mateo County and Santa Clara County,Various locations in the community or at an AbilityPath site,Days and times vary. Please visit https://abilitypath.org/services/adult-services/social-recreation-programs/ for upcoming programs,"To begin the intake process, please email socialrec@abilitypath.org"
"Independent Living Skills, North","Independent Living Skills (ILS) offers 1:1 coaching at home or in the community to help participants learn everyday skills like cooking, cleaning, budgeting, travel, safety, and socializing, building confidence and living more independently.","Ages 18+
Has a developmental disability","Doesn't need support AbilityPath staff during service hours for the following: using the restroom, eating, mobility, medical needs, and taking medication

Doesn't need support from AbilityPath staff to safely participate without frequently being: disruptive, dangerous to self/others, destructive of property, or eloping",Everything between San Francisco to Palo Alto,At the individual's residence or in the community,Scheduling is flexible and arranged mutually between the individual and the assigned staff member,"To begin the intake process, please contact your Regional Center Service Coordinator and request they email a referral packet to intake@abilitypath.org.

Required Documents:

*Facesheet
*CDER
*Current IPP
*Medical Report
*Psychological Report
*Social Report
"
"Independent Living Skills, South","Independent Living Skills (ILS) offers 1:1 coaching at home or in the community to help participants learn everyday skills like cooking, cleaning, budgeting, travel, safety, and socializing, building confidence and living more independently.","Ages 18+
Has a developmental disability","Doesn't need support AbilityPath staff during service hours for the following: using the restroom, eating, mobility, medical needs, and taking medication

Doesn't need support from AbilityPath staff to safely participate without frequently being: disruptive, dangerous to self/others, destructive of property, or eloping",Everything between Palo Alto to Santa Cruz,At the individual's residence or in the community,Scheduling is flexible and arranged mutually between the individual and the assigned staff member,"To begin the intake process, please contact your Regional Center Service Coordinator and request they email a referral packet to intake@abilitypath.org.

Required Documents:

*Facesheet
*CDER
*Current IPP
"
"Tailored Day Services, San Mateo County","In Tailored Day Services, participants work one-on-one with an instructor to build skills for a more independent, inclusive life. Services are pre-employment focused and may include job exploration, social and recreational activities, college support, daily living skills, and personal interest pursuits.","Ages 18+
Has a developmental disability","Doesn't need support AbilityPath staff during service hours for the following: using the restroom, eating, mobility, medical needs, and taking medication

Doesn't need support from AbilityPath staff to safely participate without frequently being: disruptive, dangerous to self/others, destructive of property, or eloping",San Mateo County,Various locations in the community or at an AbilityPath site,Scheduling is flexible and arranged mutually between the individual and the assigned staff member,"To begin the intake process, please contact your Regional Center Service Coordinator and request they email a referral packet to intake@abilitypath.org.

Required Documents:

*Facesheet
*CDER
*Current IPP
*Medical Report
*Psychological Report
*Social Report
"
"Employment Services, San Mateo County","Employment Services supports individuals with foundational workplace readiness in their employment journey through customized employment tracks (ex: paid internships, group employment, or job placement). Services are designed to maximize success and include resume/cover letter development, interview preparation and support, and dedicated job coaching.","Ages 18+
Has a developmental disability","Doesn't need support AbilityPath staff during service hours for the following: using the restroom, eating, mobility, medical needs, and taking medication

Doesn't need support from AbilityPath staff to safely participate without frequently being: disruptive, dangerous to self/others, destructive of property, or eloping",San Mateo County,Various locations in the community or at an AbilityPath site,Scheduling is flexible and arranged mutually between the individual and the assigned staff member,"To begin the intake process, please follow these steps:

1. Complete the Department of Rehabilitation (DOR) Application Form.
2.  Submit the completed form to your local DOR office (via email, mail, or in person).

Once your DOR application is processed, the DOR will send us a referral packet. We will review this information and then contact you directly to continue the intake process."
